chr	start	end	name	strand	source	rank_peco	pve_peco
hs4	53588785	53617807	ERVMER34-1	-	H. sapiens	847	0.0011575390520322
hs15	64364758	64386217	FAM96A	-	H. sapiens	848	0.00115582985267582
hs13	100153671	100216260	TM9SF2	+	H. sapiens	849	0.00115541138739317
hs1	222988406	223179337	DISP1	+	H. sapiens	850	0.00115466952600285
hs19	54606036	54612564	NDUFA3	+	H. sapiens	851	0.00115434810531212
hs19	47150869	47164395	DACT3	-	H. sapiens	852	0.00115390070068455
hs20	34824381	34858840	AAR2	+	H. sapiens	853	0.00115332044694305
hs1	180601140	180859387	XPR1	+	H. sapiens	854	0.00115319578423045
hs11	65809423	65816651	GAL3ST3	-	H. sapiens	855	0.00115202274513626
hs16	9185505	9215497	C16orf72	+	H. sapiens	856	0.00115188412156519
hs6	153308497	153323820	MTRF1L	-	H. sapiens	857	0.00115012924136348
hs8	99037079	99058697	RPL30	-	H. sapiens	858	0.0011480681852033
hs19	56146825	56156988	ZNF581	+	H. sapiens	859	0.00114706452398339
hs12	21417534	21572528	SLCO1A2	-	H. sapiens	860	0.00114366408337085
hs6	117774980	117891021	DCBLD1	+	H. sapiens	861	0.00114250833498264
hs17	79801035	79818570	P4HB	-	H. sapiens	862	0.00114092994866011
hs8	120743015	120845103	TAF2	-	H. sapiens	863	0.00114010224834182
hs12	56551945	56557280	MYL6	+	H. sapiens	864	0.00113936994302166
hs3	10068098	10143614	FANCD2	+	H. sapiens	865	0.0011368826488859
hs4	37892708	38140796	TBC1D1	+	H. sapiens	866	0.00113571010847191
hs5	79407050	79551898	SERINC5	-	H. sapiens	867	0.00113514858893049
hs1	10516579	10532583	DFFA	-	H. sapiens	868	0.00113374559878443
hs5	132086509	132142933	SEPT8	-	H. sapiens	869	0.00113331755130375
hs2	71680852	71913898	DYSF	+	H. sapiens	870	0.00113291157736017
hs5	33986283	34008220	AMACR	-	H. sapiens	871	0.00113250920847308
hs6	71276620	71299272	C6orf57	+	H. sapiens	872	0.00113242207427067
hs12	49315301	49320257	FKBP11	-	H. sapiens	873	0.00112722070742699
hs6	73951037	74020088	KHDC1	-	H. sapiens	874	0.00112643694700842
hs12	108956358	108963160	ISCU	+	H. sapiens	875	0.00112509578738029
hs22	37406900	37415681	TST	-	H. sapiens	876	0.00112481596729264
hs2	242432089	242449145	STK25	-	H. sapiens	877	0.00112462954619241
hs11	113603909	113644533	ZW10	-	H. sapiens	878	0.00112445525696558
hs11	58910221	58922512	FAM111A	+	H. sapiens	879	0.00112376546968052
hs4	52709166	52783003	DCUN1D4	+	H. sapiens	880	0.00112369910672616
hs7	56119323	56131682	CCT6A	+	H. sapiens	881	0.00112340529378441
hsX	40507558	40595110	MED14	-	H. sapiens	882	0.00112266940683758
hs20	32399110	32442172	CHMP4B	+	H. sapiens	883	0.00112266880054723
hs8	146155744	146176274	ZNF16	-	H. sapiens	884	0.00112162760985035
hsX	18910418	19002716	PHKA2	-	H. sapiens	885	0.00112149005187523
hs12	118587606	118810750	TAOK3	-	H. sapiens	886	0.00112120684704164
hs16	69373333	69377014	NIP7	+	H. sapiens	887	0.00111820079935587
hs5	138677276	138705406	PAIP2	+	H. sapiens	888	0.00111732591674318
hs20	20015012	20036690	CRNKL1	-	H. sapiens	889	0.00111701198519698
hs13	38923986	38937140	UFM1	+	H. sapiens	890	0.00111616208938514
hs2	214149113	215275225	SPAG16	+	H. sapiens	891	0.00111600619491603
hs6	44238203	44275243	TMEM151B	+	H. sapiens	892	0.00111600308089288
hs1	93913688	94020218	FNBP1L	+	H. sapiens	893	0.00111584893550254
hs1	49193195	49242641	BEND5	-	H. sapiens	894	0.00111574838677786
hs19	10461209	10491352	TYK2	-	H. sapiens	895	0.00111549102453723
hs19	4444996	4457819	UBXN6	-	H. sapiens	896	0.00111403055966908
hs10	69681665	69835105	HERC4	-	H. sapiens	897	0.00111365164565558
hs12	56360553	56366568	CDK2	+	H. sapiens	898	0.0011133013414476
hs8	87480486	87526586	RMDN1	-	H. sapiens	899	0.00111255849236047
hs5	176758563	176778853	LMAN2	-	H. sapiens	900	0.00111213384558217
hs12	113736564	113797298	SLC8B1	-	H. sapiens	901	0.00111189753473184
hs16	28834356	28848558	ATXN2L	+	H. sapiens	902	0.00111186650942507
hs7	64451187	64467121	ERV3-1	-	H. sapiens	903	0.0011105140556732
hs10	12207324	12238143	NUDT5	-	H. sapiens	904	0.00111047005676279
hs6	44187242	44201888	SLC29A1	+	H. sapiens	905	0.00110989195401356
hs12	118814185	118855840	SUDS3	+	H. sapiens	906	0.00110965811425345
hs5	140044261	140053709	WDR55	+	H. sapiens	907	0.00110958749257106
hs19	11242196	11266484	SPC24	-	H. sapiens	908	0.00110901728935919
hs12	110928902	110939922	VPS29	-	H. sapiens	909	0.00110740546953647
hs2	62095224	62115939	CCT4	-	H. sapiens	910	0.00110734787164612
hs3	12525931	12581122	TSEN2	+	H. sapiens	911	0.00110687121887876
hs17	79650356	79670168	HGS	+	H. sapiens	912	0.00110603125996012
hs10	14920819	14946314	SUV39H2	+	H. sapiens	913	0.00110453879903938
hs20	17550508	17590564	DSTN	+	H. sapiens	914	0.00110440928295996
hs19	19366450	19373605	HAPLN4	-	H. sapiens	915	0.0011039182414887
hs1	44870866	45117396	RNF220	+	H. sapiens	916	0.00110386542265817
hs14	105956192	105965912	C14orf80	+	H. sapiens	917	0.00110282357938662
hs16	69165194	69265033	CIRH1A	+	H. sapiens	918	0.00110281798299028
hs11	47586888	47606114	NDUFS3	+	H. sapiens	919	0.00110136738475197
hs7	92116334	92157845	PEX1	-	H. sapiens	920	0.00109913573274845
hs11	69467844	69490184	ORAOV1	-	H. sapiens	921	0.00109834492698346
hs16	84733584	84813528	USP10	+	H. sapiens	922	0.00109750835493083
hs9	33290509	33371155	NFX1	+	H. sapiens	923	0.00109354794655603
hs4	85504132	85572491	CDS1	+	H. sapiens	924	0.00109265814167581
hs14	73704205	73741348	PAPLN	+	H. sapiens	925	0.00109242027315404
hs6	31497996	31510225	DDX39B	-	H. sapiens	926	0.00109158225954542
hs16	89334038	89556969	ANKRD11	-	H. sapiens	927	0.00109118508754269
hs5	150816607	150871942	SLC36A1	+	H. sapiens	928	0.00109061268227884
hs3	186838736	186898696	RPL39L	-	H. sapiens	929	0.00108997344377593
hs1	173446405	173457946	PRDX6	+	H. sapiens	930	0.0010886223921579
hs22	39745930	39781593	SYNGR1	+	H. sapiens	931	0.001088370128706
hs13	96230457	96296957	DZIP1	-	H. sapiens	932	0.00108824430874177
hs16	2254249	2259417	MLST8	+	H. sapiens	933	0.00108817496298974
hs19	37264055	37267980	CTD-2162K18.4	+	H. sapiens	934	0.00108762002507601
hs2	136499189	136542625	UBXN4	+	H. sapiens	935	0.00108644854104667
hs1	115247090	115259515	NRAS	-	H. sapiens	936	0.00108642615460131
hs2	158592958	158732374	ACVR1	-	H. sapiens	937	0.00108622185125373
hs12	112279782	112334343	MAPKAPK5	+	H. sapiens	938	0.00108510682826768
hs5	102455853	102548500	PPIP5K2	+	H. sapiens	939	0.00108453499194594
hs16	85645015	85709810	GSE1	+	H. sapiens	940	0.00108431100428641
hs2	3622795	3628509	RPS7	+	H. sapiens	941	0.00108271379748848
hs5	60453536	60458301	SMIM15	-	H. sapiens	942	0.00108239612729599
hsX	149934810	150067289	CD99L2	-	H. sapiens	943	0.0010816787862149
hsY	16634518	16957530	NLGN4Y	+	H. sapiens	944	0.00108105893300137
hs7	111846643	111983151	ZNF277	+	H. sapiens	945	0.00107961397721579
hs19	37803739	37860267	HKR1	+	H. sapiens	946	0.00107928728856554
hs7	124462440	124570037	POT1	-	H. sapiens	947	0.00107902563757589
hs3	44956749	45017677	ZDHHC3	-	H. sapiens	948	0.00107858974662334
hs2	189156396	189460653	GULP1	+	H. sapiens	949	0.00107728550078767
hs1	201951500	201975275	RNPEP	+	H. sapiens	950	0.00107620121557883
hs19	39881943	39891277	MED29	+	H. sapiens	951	0.0010752177990041
hs8	141667999	142012315	PTK2	-	H. sapiens	952	0.00107499605480066
hs17	80008567	80015346	GPS1	+	H. sapiens	953	0.00107384703942837
hs8	97273943	97349223	PTDSS1	+	H. sapiens	954	0.0010729152750697
hs7	75931861	75933612	HSPB1	+	H. sapiens	955	0.00107212017505021
hs7	134777115	134855547	C7orf49	-	H. sapiens	956	0.00107161419588819
hs2	25600067	25896503	DTNB	-	H. sapiens	957	0.00106993504433883
hs1	40420802	40435638	MFSD2A	+	H. sapiens	958	0.00106981654624316
hs16	6069095	7763340	RBFOX1	+	H. sapiens	959	0.00106934610078424
hs11	66045661	66052772	CNIH2	+	H. sapiens	960	0.00106924967351829
hs7	99746530	99753567	LAMTOR4	+	H. sapiens	961	0.001068839381275
hs5	137890571	137911133	HSPA9	-	H. sapiens	962	0.0010684787012083
hs2	74425689	74444692	MTHFD2	+	H. sapiens	963	0.00106843853931449
hs14	50779044	50802276	ATP5S	+	H. sapiens	964	0.00106715658758427
hs14	23415437	23426370	HAUS4	-	H. sapiens	965	0.00106569280345925
hs20	36322408	36500531	CTNNBL1	+	H. sapiens	966	0.00106370759966601
hs19	53569859	53606689	ZNF160	-	H. sapiens	967	0.00106263314069865
hs8	142402093	142441620	PTP4A3	+	H. sapiens	968	0.001061698135158
hs12	44902058	45315631	NELL2	-	H. sapiens	969	0.00106150382216286
hs5	196986	218330	CCDC127	-	H. sapiens	970	0.00106087998673032
hs14	31915242	31926716	DTD2	-	H. sapiens	971	0.00105918624266965
hs11	67056018	67069956	ANKRD13D	+	H. sapiens	972	0.00105897890883133
hs2	122484521	122494499	NIFK	-	H. sapiens	973	0.00105688194228259
hs3	99979844	100044095	TBC1D23	+	H. sapiens	974	0.00105629761954462
hs22	24236191	24237414	MIF	+	H. sapiens	975	0.00105559292128965
hs16	834974	838397	RPUSD1	-	H. sapiens	976	0.00105553877219611
hs6	126068810	126082415	HEY2	+	H. sapiens	977	0.00105478019899585
hs6	111981535	112194655	FYN	-	H. sapiens	978	0.00105452921674931
hs11	62432781	62435968	METTL12	+	H. sapiens	979	0.00105427483786424
hs6	117639374	117923691	GOPC	-	H. sapiens	980	0.00105417710723321
hsMT	9207	9990	MT-CO3	+	H. sapiens	981	0.00105256770914142
hs14	77801364	77843452	TMED8	-	H. sapiens	982	0.00105149248671643
hs6	42068856	42110357	C6orf132	-	H. sapiens	983	0.00104897022151229
hs6	108362613	108487058	OSTM1	-	H. sapiens	984	0.0010479594888958
hs12	120899471	120907596	SRSF9	-	H. sapiens	985	0.00104701298158627
hs17	21187984	21218552	MAP2K3	+	H. sapiens	986	0.00104546896583224
hs3	49158547	49170551	LAMB2	-	H. sapiens	987	0.00104456495498206
hs1	204391756	204463852	PIK3C2B	-	H. sapiens	988	0.00104447477175418
hs19	51848423	51869672	ETFB	-	H. sapiens	989	0.00104350128467323
hs17	1963133	2207065	SMG6	-	H. sapiens	990	0.00104222214945271
hs3	52937588	53080766	SFMBT1	-	H. sapiens	991	0.00104213669632525
hs20	39657458	39753127	TOP1	+	H. sapiens	992	0.00104152895672305
hs5	71616194	71656052	PTCD2	+	H. sapiens	993	0.00104130396822133
hs9	133569108	133580248	EXOSC2	+	H. sapiens	994	0.00104098293357535
hs1	32799433	32801980	MARCKSL1	-	H. sapiens	995	0.00104020167253371
hs7	44866390	44887682	H2AFV	-	H. sapiens	996	0.00103858218415875
hs3	71003844	71633140	FOXP1	-	H. sapiens	997	0.00103604364721777
hs16	8882680	8943188	PMM2	+	H. sapiens	998	0.00103601455850932
hs11	9160372	9286937	DENND5A	-	H. sapiens	999	0.00103524809195299
hs6	108616098	108847999	LACE1	+	H. sapiens	1000	0.00103494086625466
hs1	31769842	31837783	ZCCHC17	+	H. sapiens	1001	0.00103330071387808
hs17	28705923	28797007	CPD	+	H. sapiens	1002	0.00103250022970613
hs9	114423615	114432526	GNG10	+	H. sapiens	1003	0.0010312974933393
hs15	90931450	91045475	IQGAP1	+	H. sapiens	1004	0.00103088929244177
hs5	1798500	1801480	MRPL36	-	H. sapiens	1005	0.00103084679290577
hs6	151685252	151712683	ZBTB2	-	H. sapiens	1006	0.0010293451883866
hs8	67540722	67579452	VCPIP1	-	H. sapiens	1007	0.00102866556764947
hs22	50247490	50283726	ZBED4	+	H. sapiens	1008	0.00102817531380606
hs22	39257455	39268319	CBX6	-	H. sapiens	1009	0.00102801695894639
hs2	55463731	55496483	MTIF2	-	H. sapiens	1010	0.00102740116680977
hs10	75910960	76469061	ADK	+	H. sapiens	1011	0.00102621826428928
hs18	9136226	9285983	ANKRD12	+	H. sapiens	1012	0.001025795923001
hs1	174979925	174992561	MRPS14	-	H. sapiens	1013	0.0010255835651044
hs19	12754645	12759211	CTD-2192J16.22	-	H. sapiens	1014	0.00102541822452773
hs20	32294512	32308125	PXMP4	-	H. sapiens	1015	0.00102425028955133
hs7	30634297	30673649	GARS	+	H. sapiens	1016	0.00102419236121165
hs20	5080486	5093749	TMEM230	-	H. sapiens	1017	0.00102395324594007
hs3	132136370	132257876	DNAJC13	+	H. sapiens	1018	0.00102345546575133
hs17	27030215	27038872	PROCA1	-	H. sapiens	1019	0.00101821366255528
hs2	15307032	15701454	NBAS	-	H. sapiens	1020	0.0010181155482426
hs12	26490342	26986131	ITPR2	-	H. sapiens	1021	0.00101752593965243
hs1	40538379	40563375	PPT1	-	H. sapiens	1022	0.00101729618712265
hs16	19513015	19533467	GDE1	-	H. sapiens	1023	0.00101650271429732
hs4	74702214	74714781	CXCL6	+	H. sapiens	1024	0.00101604495801177
hs6	17615269	17706656	NUP153	-	H. sapiens	1025	0.00101585366635226
hs22	22108789	22221970	MAPK1	-	H. sapiens	1026	0.00101572460979382
hs2	69871557	70053596	ANXA4	+	H. sapiens	1027	0.00101462283198717
hs5	141371314	141392606	GNPDA1	-	H. sapiens	1028	0.00101393157288721
hs19	34895289	34917073	PDCD2L	+	H. sapiens	1029	0.00101357068780139
hs3	48488114	48507115	ATRIP	+	H. sapiens	1030	0.00101303795843455
hsX	12809474	12842341	PRPS2	+	H. sapiens	1031	0.00101100970299128
hsX	1710486	1721407	AKAP17A	+	H. sapiens	1032	0.00101085161670422
hs12	120427673	120532298	CCDC64	+	H. sapiens	1033	0.00101080445140522
hs8	124054208	124164393	TBC1D31	+	H. sapiens	1034	0.00100965466376279
hs17	80572438	80606429	WDR45B	-	H. sapiens	1035	0.00100957923559186
hs4	79472673	79531597	ANXA3	+	H. sapiens	1036	0.00100940402142302
hs19	55464498	55512510	NLRP2	+	H. sapiens	1037	0.00100886104118514
hs2	9613787	9636672	IAH1	+	H. sapiens	1038	0.00100801705442599
hs16	19714902	19729557	KNOP1	-	H. sapiens	1039	0.00100698463147098
hs8	41119481	41167016	SFRP1	-	H. sapiens	1040	0.00100668903804413
hs21	37442239	37445464	CBR1	+	H. sapiens	1041	0.00100608805243318
hs19	55583388	55599291	EPS8L1	+	H. sapiens	1042	0.00100602263737049
hs14	23033805	23058175	DAD1	-	H. sapiens	1043	0.00100425919640768
hs1	54411750	54433841	LRRC42	+	H. sapiens	1044	0.00100263120932287
hs2	153574407	153617767	ARL6IP6	+	H. sapiens	1045	0.00100198942377283
hs6	160090089	160183561	SOD2	-	H. sapiens	1046	0.00100177844181959
hs11	62104920	62160882	ASRGL1	+	H. sapiens	1047	0.00100142122303681
hs3	85008132	86123579	CADM2	+	H. sapiens	1048	0.00100074685664375
hs16	4746513	4784379	ANKS3	-	H. sapiens	1049	0.0010002365956987
hs9	124101355	124132531	STOM	-	H. sapiens	1050	0.00100010089883984
hs3	46556913	46621589	LRRC2	-	H. sapiens	1051	0.00099987552134384
hs9	131707809	131709898	DOLK	-	H. sapiens	1052	0.000998615513788548
hs20	33703167	33865928	EDEM2	-	H. sapiens	1053	0.000996250127017761
hs15	34376218	34394149	EMC7	-	H. sapiens	1054	0.00099578350477314
hs19	8367011	8373240	CD320	-	H. sapiens	1055	0.00099547251532861
hs19	5891287	5904017	NDUFA11	-	H. sapiens	1056	0.000992777495546715
hs7	21940518	21985702	CDCA7L	-	H. sapiens	1057	0.000991095613483428
hs4	89178772	89205921	PPM1K	-	H. sapiens	1058	0.000991012986205075
hs19	7459999	7537363	ARHGEF18	+	H. sapiens	1059	0.000990833705178051
hs16	58553855	58663790	CNOT1	-	H. sapiens	1060	0.0009900553626222
hs12	67663061	67713731	CAND1	+	H. sapiens	1061	0.000989089303109258
hs19	8920380	8943004	ZNF558	-	H. sapiens	1062	0.000988834740859534
hs6	88224096	88299721	RARS2	-	H. sapiens	1063	0.000988551935670157
hs6	166822852	167319939	RPS6KA2	-	H. sapiens	1064	0.000987806076250486
hs15	44580927	44707956	CASC4	+	H. sapiens	1065	0.000987249349330699
hs18	670324	712676	ENOSF1	-	H. sapiens	1066	0.00098697447016638
hs3	45596886	45727830	LIMD1	+	H. sapiens	1067	0.000986972518366325
hs9	134735494	134955295	MED27	-	H. sapiens	1068	0.000984497339523327
hs2	219575568	219620139	TTLL4	+	H. sapiens	1069	0.000983147399032935
hs1	92145902	92371892	TGFBR3	-	H. sapiens	1070	0.000983037057445291
hs19	52693292	52730687	PPP2R1A	+	H. sapiens	1071	0.000982776276332475
hs21	37507210	37518864	CBR3	+	H. sapiens	1072	0.000981897440143875
hs15	44069285	44094787	SERF2	+	H. sapiens	1073	0.000981582193572139
hs7	128379346	128411861	CALU	+	H. sapiens	1074	0.000980356645365554
hs16	15153879	15188174	RRN3	-	H. sapiens	1075	0.000979529576015215
hs3	170582664	170588272	RPL22L1	-	H. sapiens	1076	0.000979461009335658
hs17	42088556	42101314	TMEM101	-	H. sapiens	1077	0.000977599305283738
hs11	57295936	57298276	TIMM10	-	H. sapiens	1078	0.000977311502577516
hs17	27206353	27224697	FLOT2	-	H. sapiens	1079	0.000977110322082697
hs5	108670410	108745695	PJA2	-	H. sapiens	1080	0.00097600644619722
hs10	102288829	102319755	HIF1AN	+	H. sapiens	1081	0.000975869774484828
hs8	59465483	59495419	SDCBP	+	H. sapiens	1082	0.000974726309425189
hs5	94799599	94890711	TTC37	-	H. sapiens	1083	0.000974260621688816
hs4	74979891	75168816	MTHFD2L	+	H. sapiens	1084	0.000973657884570378
hs8	42195972	42229326	POLB	+	H. sapiens	1085	0.000973565453704528
hs11	6496910	6502666	ARFIP2	-	H. sapiens	1086	0.000972892968590378
hs11	6469843	6495689	TRIM3	-	H. sapiens	1087	0.000972738629426262
hs4	140586922	140661899	MGST2	+	H. sapiens	1088	0.000971945474372737
hs9	104161155	104172942	ZNF189	+	H. sapiens	1089	0.000971729365940477
hs7	37723446	37991543	EPDR1	+	H. sapiens	1090	0.000971032251735449
hs11	67374323	67380006	NDUFV1	+	H. sapiens	1091	0.000971023523751557
hs4	78783674	78873944	MRPL1	+	H. sapiens	1092	0.000970583076909559
hs20	62152077	62153559	PPDPF	+	H. sapiens	1093	0.000969444504709482
hs11	12695969	12966298	TEAD1	+	H. sapiens	1094	0.000968209642288831
hs4	6709428	6711607	MRFAP1L1	-	H. sapiens	1095	0.000967461774590839
hs6	111303218	111349466	RPF2	+	H. sapiens	1096	0.000966932662097908
hs13	48627459	48669267	MED4	-	H. sapiens	1097	0.000966097384751063
hs19	8575462	8579048	ZNF414	-	H. sapiens	1098	0.000965888143195648
hs7	150904923	150924316	ABCF2	-	H. sapiens	1099	0.000964672481693296
hs19	7580178	7585912	ZNF358	+	H. sapiens	1100	0.000964469335024698
hs19	45992035	46005768	PPM1N	+	H. sapiens	1101	0.000963766076285677
hs14	74960423	74963809	ISCA2	+	H. sapiens	1102	0.000963743757643076
hs16	90014333	90034468	DEF8	+	H. sapiens	1103	0.000962352821642698
hs19	38795753	38807913	YIF1B	-	H. sapiens	1104	0.000961894995755053
hs1	2439972	2458039	PANK4	-	H. sapiens	1105	0.00096183570164976
hsX	53401070	53449677	SMC1A	-	H. sapiens	1106	0.000961125390929407
hs11	3848208	3862213	RHOG	-	H. sapiens	1107	0.000960529737846327
hs6	31825436	31830683	NEU1	-	H. sapiens	1108	0.000960003986643976
hs19	2230002	2237703	PLEKHJ1	-	H. sapiens	1109	0.000959511143633685
hs11	62392298	62414104	GANAB	-	H. sapiens	1110	0.000958820763229506
hs7	73248920	73256865	WBSCR27	-	H. sapiens	1111	0.000958358064822029
hs11	64494383	64512928	RASGRP2	-	H. sapiens	1112	0.000956817090961959
hs13	31710762	31736525	HSPH1	-	H. sapiens	1113	0.000954872688613939
hs8	26240414	26363152	BNIP3L	+	H. sapiens	1114	0.000954806188052437
hs19	41768401	41813503	HNRNPUL1	+	H. sapiens	1115	0.000954593520783753
hsX	131157293	131209971	MST4	+	H. sapiens	1116	0.000954477008110688
hs9	114287439	114340124	ZNF483	+	H. sapiens	1117	0.000954071366647824
hs10	12237964	12292588	CDC123	+	H. sapiens	1118	0.000953729029025685
hs4	56262124	56319564	TMEM165	+	H. sapiens	1119	0.000952794685808778
hs20	57264187	57294294	NPEPL1	+	H. sapiens	1120	0.000952472523554793
hs1	112938803	113006078	CTTNBP2NL	+	H. sapiens	1121	0.000952096638126343
hs9	95375466	95432547	IPPK	-	H. sapiens	1122	0.000951680745924999
hs3	132757235	133116636	TMEM108	+	H. sapiens	1123	0.000951039327198089
hs2	86371055	86422893	IMMT	-	H. sapiens	1124	0.000950838754857464
hs12	104323885	104347423	HSP90B1	+	H. sapiens	1125	0.000950077807077232
hs16	1821891	1823156	MRPS34	-	H. sapiens	1126	0.000950031152317732
hsMT	14149	14673	MT-ND6	-	H. sapiens	1127	0.000949123096665172
hs19	2425622	2427892	TIMM13	-	H. sapiens	1128	0.000949071857455408
hs3	182971032	183016292	B3GNT5	+	H. sapiens	1129	0.000948889301237599
hs5	79703832	79775169	ZFYVE16	+	H. sapiens	1130	0.000948566483604751
hs19	45910591	45982086	ERCC1	-	H. sapiens	1131	0.000947490893176473
hs7	2273866	2281840	FTSJ2	-	H. sapiens	1132	0.000946782650490641
hs3	148709128	148745419	GYG1	+	H. sapiens	1133	0.000946024956716918
hsX	47092089	47107727	USP11	+	H. sapiens	1134	0.000945938982332528
hs8	23699428	23712320	STC1	-	H. sapiens	1135	0.000945927265520008
hs15	64657193	64679886	KIAA0101	-	H. sapiens	1136	0.000944696070468876
hs12	111798455	111806925	FAM109A	-	H. sapiens	1137	0.000944600607005519
hs5	80256491	80525975	RASGRF2	+	H. sapiens	1138	0.00094455928544579
hs10	127524906	127585005	DHX32	-	H. sapiens	1139	0.000944476274696626
hs14	104029299	104073860	APOPT1	+	H. sapiens	1140	0.000943785844789269
hs9	35814448	35854844	TMEM8B	+	H. sapiens	1141	0.000943506570972863
hs9	93564069	93660831	SYK	+	H. sapiens	1142	0.00094331263807057
hs11	126225535	126310239	ST3GAL4	+	H. sapiens	1143	0.000942923950992824
hs5	151040657	151066726	SPARC	-	H. sapiens	1144	0.000942673987554321
hs6	27215480	27224403	PRSS16	+	H. sapiens	1145	0.000941349874307384
hs2	74753772	74757066	AUP1	-	H. sapiens	1146	0.000941084336668507
hs22	31031639	31065003	SLC35E4	+	H. sapiens	1147	0.00094063721476112
hs1	152004982	152020383	S100A11	-	H. sapiens	1148	0.000940442747094483
hs11	133778459	133826880	IGSF9B	-	H. sapiens	1149	0.000940157713412826
hs16	81478775	81745367	CMIP	+	H. sapiens	1150	0.000939355001803088
hs3	52568029	52613253	SMIM4	+	H. sapiens	1151	0.000937831468941663
hs19	39923847	39926588	RPS16	-	H. sapiens	1152	0.000935709515252792
hs5	175874629	175937075	FAF2	+	H. sapiens	1153	0.000935310396025457
hs13	32889611	32973805	BRCA2	+	H. sapiens	1154	0.000934933028085339
hs16	30087299	30096698	PPP4C	+	H. sapiens	1155	0.000934786119862085
hs1	202102532	202113869	ARL8A	-	H. sapiens	1156	0.00093362238028738
hs10	81142081	81205383	ZCCHC24	-	H. sapiens	1157	0.000933553959747924
hs1	207627575	207663240	CR2	+	H. sapiens	1158	0.00093352250758505
hs12	111471828	111788358	CUX2	+	H. sapiens	1159	0.000933349281362017
hs2	61108656	61158745	REL	+	H. sapiens	1160	0.000933108091986434
hs12	95867296	95909615	METAP2	+	H. sapiens	1161	0.000932261319624539
hs6	89790470	89794879	PNRC1	+	H. sapiens	1162	0.000931402484674826
hs1	65886270	65901690	LEPROT	+	H. sapiens	1163	0.000931228267582407
hs10	135043778	135045062	UTF1	+	H. sapiens	1164	0.000930890864857425
hs16	68344877	68392466	PRMT7	+	H. sapiens	1165	0.000930786710299336
hs12	861759	1020618	WNK1	+	H. sapiens	1166	0.000930730841556371
hs5	114602885	114632528	CCDC112	-	H. sapiens	1167	0.000929463315607726
hs5	167718656	167899308	WWC1	+	H. sapiens	1168	0.000928927706681404
hs1	153507075	153508720	S100A6	-	H. sapiens	1169	0.000928915544043951
hs11	57520715	57587018	CTNND1	+	H. sapiens	1170	0.00092890233808629
hs17	2308856	2415185	METTL16	-	H. sapiens	1171	0.000928500235865992
hs19	49999622	50002946	RPS11	+	H. sapiens	1172	0.000927291952726672
hs1	213224589	213448116	RPS6KC1	+	H. sapiens	1173	0.000925963776377992
hs8	143530791	143626370	BAI1	+	H. sapiens	1174	0.000925695702589713
hs4	129190397	129209984	PGRMC2	-	H. sapiens	1175	0.000925674729240655
hs5	180681417	180688119	TRIM52	-	H. sapiens	1176	0.000925584551891845
hs1	206643791	206670223	IKBKE	+	H. sapiens	1177	0.000924759368081673
hs1	100598706	100616053	TRMT13	+	H. sapiens	1178	0.000923741641703613
hs12	54762917	54785082	ZNF385A	-	H. sapiens	1179	0.00092336688167638
hs19	17513748	17516457	BST2	-	H. sapiens	1180	0.000923307092263292
hs1	8412457	8877702	RERE	-	H. sapiens	1181	0.000923289035243635
hs12	49223547	49246625	DDX23	-	H. sapiens	1182	0.000922280180337132
hs10	75757872	75879918	VCL	+	H. sapiens	1183	0.000921675310685988
hs19	18668572	18680197	KXD1	+	H. sapiens	1184	0.000920930743319226
hs1	193065598	193075244	GLRX2	-	H. sapiens	1185	0.000920539869088577
hs17	7494548	7518189	FXR2	-	H. sapiens	1186	0.00092050424693535
hs21	47720095	47743789	C21orf58	-	H. sapiens	1187	0.000919866185943197
hs7	54819943	54827667	SEC61G	-	H. sapiens	1188	0.000919819451180803
hs10	71812552	71872036	H2AFY2	+	H. sapiens	1189	0.000919772602013147
hs14	21989232	22005350	SALL2	-	H. sapiens	1190	0.000919555555890517
hs12	106751436	106903976	POLR3B	+	H. sapiens	1191	0.000919441293310452
hs11	112097088	112140678	PTS	+	H. sapiens	1192	0.000919380919598867
hs7	123177051	123198309	NDUFA5	-	H. sapiens	1193	0.000918127735002439
hs20	814358	838106	FAM110A	+	H. sapiens	1194	0.000917884758263821
hs14	80943330	81425861	CEP128	-	H. sapiens	1195	0.00091754548277645
hs6	52842751	52860176	GSTA4	-	H. sapiens	1196	0.000917163946863919
hs2	11674242	11782914	GREB1	+	H. sapiens	1197	0.000917044065814943
hsX	100663283	100669121	HNRNPH2	+	H. sapiens	1198	0.000914115664447657
hs19	38226734	38307940	ZNF573	-	H. sapiens	1199	0.000912958339742809
hs5	133307606	133340824	VDAC1	-	H. sapiens	1200	0.000912342701188784
hs19	58739960	58788815	ZNF544	+	H. sapiens	1201	0.000911021761450415
hs15	89420519	89438857	HAPLN3	-	H. sapiens	1202	0.000910820011559621
hs20	31407699	31438211	MAPRE1	+	H. sapiens	1203	0.00091054413732139
hs17	53029263	53046146	COX11	-	H. sapiens	1204	0.000907961862062434
hs3	36868311	36986548	TRANK1	-	H. sapiens	1205	0.000907875312985862
hs11	118271869	118302211	ATP5L	+	H. sapiens	1206	0.000907721141689244
hs7	75471920	75518244	RHBDD2	+	H. sapiens	1207	0.000906466739286182
hs2	64681103	64688515	LGALSL	+	H. sapiens	1208	0.000906012951213064
hs11	45907202	45928016	MAPK8IP1	+	H. sapiens	1209	0.000905893417955328
